Name,Address,Blocks,Units,Unit Rate,MoM,Trans Record,For Sale,For Rent,Estate Link,Region,District,Subdistrict,Code,Scraped Estate Name,Occupation Permit,Scraped Blocks,Scraped Units,School Net Info,Estate Detailed Address,Developer
Amber Lodge,23 Hollywood Road,1,36,--,--,--,3,1,https://hk.centanet.com/estate/en/Amber-Lodge/2-OUQSFRQXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Arbuthnot House,10-14 Arbuthnot Road,1,65,--,--,--,3,--,https://hk.centanet.com/estate/en/Arbuthnot-House/2-OUJJURRJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Winner Building,10 Wing Wah Lane,2,144,--,--,--,2,2,https://hk.centanet.com/estate/en/Winner-Building/2-OUODURCARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Ying Pont Building,69-71A Peel Street,1,69,--,--,--,2,2,https://hk.centanet.com/estate/en/Ying-Pont-Building/2-SEWEWPBXPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Sunrise House,21-31 Old Bailey Street,1,66,--,--,--,2,1,https://hk.centanet.com/estate/en/Sunrise-House/2-SEKWGPBRPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Garley Building,45-53A Graham Street,1,118,--,--,--,2,1,https://hk.centanet.com/estate/en/Garley-Building/2-SSAKGPAJPK,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Sunwise Building,112-114 Wellington Street,1,45,--,--,--,2,1,https://hk.centanet.com/estate/en/Sunwise-Building/2-TMSITHLAHM,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Welley Building,97 Wellington Street,1,48,--,--,--,2,--,https://hk.centanet.com/estate/en/Welley-Building/2-SEKGBPYAPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Villa Serene,3 Staunton Street,1,46,--,--,--,2,--,https://hk.centanet.com/estate/en/Villa-Serene/2-SEYKGPDJPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Bel Mount Garden,15 Arbuthnot Road,1,66,--,--,--,2,--,https://hk.centanet.com/estate/en/Bel-Mount-Garden/2-TMLDTHHXHM,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Kingearn Building,24-26 Aberdeen Street,1,38,--,--,--,2,--,https://hk.centanet.com/estate/en/Kingearn-Building/2-TTZLTHHSHZ,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Wo On Building,8-13 Wo On Lane,1,36,--,--,--,1,1,https://hk.centanet.com/estate/en/Wo-On-Building/2-OUFRQRCRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Kar Ho Building,35-39 Graham Street,1,34,--,--,--,1,1,https://hk.centanet.com/estate/en/Kar-Ho-Building/2-SSKYBPAJPK,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
King Ho Building,41-49 Aberdeen Street,1,30,--,--,--,1,1,https://hk.centanet.com/estate/en/King-Ho-Building/2-TTLHTHHVHZ,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Shiu King Court,4-8 Arbuthnot Road,1,42,--,--,--,1,--,https://hk.centanet.com/estate/en/Shiu-King-Court/2-OUDSURRARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Staunton Building,14-18 Staunton Street,1,25,--,--,--,--,--,https://hk.centanet.com/estate/en/Staunton-Building/2-OUOCFRJRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Lyndhurst Building,23-39 Lyndhurst Terrace,1,56,--,--,--,1,--,https://hk.centanet.com/estate/en/Lyndhurst-Building/2-SEAKWPKAPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Greenville,2 Glenealy,1,24,--,--,--,1,--,https://hk.centanet.com/estate/en/Greenville/2-SEGPWPEAPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
28 Cochrane Street,28 Cochrane Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/28-Cochrane-Street/2-SEPDBPSSPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
91 Wellington Street,91 Wellington Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/91-Wellington-Street/2-SESABPYRPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
7-13 Elgin Street,7-13 Elgin Street,1,30,--,--,--,--,--,https://hk.centanet.com/estate/en/7-13-Elgin-Street/2-SSWBGPEAPK,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Vimark House,65 Wyndham Street,1,2,--,--,--,--,--,https://hk.centanet.com/estate/en/Vimark-House/2-TMMHIHLXHM,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Cheung Fai Building,45-47 Cochrane Street,1,36,--,--,--,1,--,https://hk.centanet.com/estate/en/Cheung-Fai-Building/2-TMXXZHTXHM,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
108-110 Wellington Street,108-110 Wellington Street,1,14,--,--,--,--,3,https://hk.centanet.com/estate/en/108-110-Wellington-Street/2-TMNNTHLHHM,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Tung Yuen Building,7 Chancery Lane,1,18,--,--,--,--,--,https://hk.centanet.com/estate/en/Tung-Yuen-Building/2-OUOJUROYRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Merlin Building,30-34 Cochrane Street,1,16,--,--,--,--,--,https://hk.centanet.com/estate/en/Merlin-Building/2-SEDPGPSRPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
52 Graham Street,52 Graham Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/52-Graham-Street/2-SESSBPAJPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
77-81 Hollywood Road,77-81 Hollywood Road,1,20,--,--,--,--,--,https://hk.centanet.com/estate/en/77-81-Hollywood-Road/2-TTZXTHZVHZ,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Kam Hei Mansion,33-35 Staunton Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/Kam-Hei-Mansion/2-OOCDQRJXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
37 Peel Street,37 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/37-Peel-Street/2-OOCFFRVXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Wing Fai Building,176 Wellington Street,1,13,--,--,--,--,--,https://hk.centanet.com/estate/en/Wing-Fai-Building/2-OOCOQRFORS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
42 Aberdeen Street,42 Aberdeen Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/42-Aberdeen-Street/2-OOCQURRSRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
28-32 Gage Street,28-32 Gage Street,1,11,--,--,--,--,--,https://hk.centanet.com/estate/en/28-32-Gage-Street/2-OOCVFRUHRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
68-70A Hollywood Road,68-70A Hollywood Road,1,22,--,--,--,--,--,https://hk.centanet.com/estate/en/68-70A-Hollywood-Road/2-OODCURSYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
34 Gage Street,34 Gage Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/34-Gage-Street/2-OODDFRUYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Wah Lee Building,33-35 Peel Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/Wah-Lee-Building/2-OODJFRVXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Cheung Hing House,41 Peel Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/Cheung-Hing-House/2-OOFCFRVHRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
34-36 Aberdeen Street,34-36 Aberdeen Street,1,15,--,--,--,--,--,https://hk.centanet.com/estate/en/34-36-Aberdeen-Street/2-OOFOURRSRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
180-182 Wellington Street,180-182 Wellington Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/180-182-Wellington-Street/2-OOFQQRFRRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
New Central Mansion,39-49 Gage Street,1,71,--,--,--,--,--,https://hk.centanet.com/estate/en/New-Central-Mansion/2-OOFRFRUXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
29 Staunton Street,29 Staunton Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/29-Staunton-Street/2-OOFVQRJXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
41 Staunton Street,41 Staunton Street,1,2,--,--,--,--,--,https://hk.centanet.com/estate/en/41-Staunton-Street/2-OOJCQRJXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Tsang Chiu Ho Building,160-164 Wellington Street,1,35,--,--,--,--,--,https://hk.centanet.com/estate/en/Tsang-Chiu-Ho-Building/2-OOJCURFJRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
62 Hollywood Road,62 Hollywood Road,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/62-Hollywood-Road/2-OOJJURSXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
13 Peel Street,13 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/13-Peel-Street/2-OOJOFRVYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
17 Peel Street,17 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/17-Peel-Street/2-OOJQFRVXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
11 Peel Street,11 Peel Street,1,2,--,--,--,--,--,https://hk.centanet.com/estate/en/11-Peel-Street/2-OOOOFRVXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
64 Hollywood Road,64 Hollywood Road,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/64-Hollywood-Road/2-OOQFURSYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
The Gage,36 Gage Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/The-Gage/2-OOQJFQUXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
170 Wellington Street,170 Wellington Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/170-Wellington-Street/2-OOQOQRFARS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
39 Staunton Street,39 Staunton Street,1,2,--,--,--,--,--,https://hk.centanet.com/estate/en/39-Staunton-Street/2-OORCQRJYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
66 Hollywood Road,66 Hollywood Road,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/66-Hollywood-Road/2-OORCURSXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
60 Hollywood Road,60 Hollywood Road,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/60-Hollywood-Road/2-OORJURSYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
166 Wellington Street,166 Wellington Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/166-Wellington-Street/2-OORRQRFYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
31 Staunton Street,31 Staunton Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/31-Staunton-Street/2-OOSDQRJXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
37 Staunton Street,37 Staunton Street,1,2,--,--,--,--,--,https://hk.centanet.com/estate/en/37-Staunton-Street/2-OOSFQRJXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
15 Peel Street,15 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/15-Peel-Street/2-OOSUFRVXRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Wing Wood Lau,72-72A Hollywood Road,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/Wing-Wood-Lau/2-OOUUQRSYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Fook Chi House,22-24 Gage Street,1,16,--,--,--,--,--,https://hk.centanet.com/estate/en/Fook-Chi-House/2-OOUVFRUARS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
39 Peel Street,39 Peel Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/39-Peel-Street/2-OOVCFRVYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Wing Wai Building,172 Wellington Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/Wing-Wai-Building/2-OOVOQRFYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
The Platinum Hollywood,74-74A Hollywood Road,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/The-Platinum-Hollywood/2-OOVQQRSYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
136-138 Wellington Street,136-138 Wellington Street,1,1,--,--,--,--,--,https://hk.centanet.com/estate/en/136-138-Wellington-Street/2-OOVQURFYRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
38-40 Aberdeen Street,38-40 Aberdeen Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/38-40-Aberdeen-Street/2-OOVQURRRRS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
26 Arbuthnot Road,26 Arbuthnot Road,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/26-Arbuthnot-Road/2-OUCDQRRRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
22 Elgin Street,22 Elgin Street,1,6,--,--,--,--,--,https://hk.centanet.com/estate/en/22-Elgin-Street/2-OUCJURUJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Wyndham Mansion,30-32 Wyndham Street,1,28,--,--,--,--,--,https://hk.centanet.com/estate/en/Wyndham-Mansion/2-OUCRFRCSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
55 Wellington Street,55 Wellington Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/55-Wellington-Street/2-OUDOQRFXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
32 Elgin Street,32 Elgin Street,1,9,--,--,--,--,--,https://hk.centanet.com/estate/en/32-Elgin-Street/2-OUDVQRUJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Ridley House,2 Upper Albert Road,1,25,--,--,--,--,--,https://hk.centanet.com/estate/en/Ridley-House/2-OUFCQRCARQ,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
51 Wellington Street,51 Wellington Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/51-Wellington-Street/2-OUFCURFRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
34 Graham Street,34 Graham Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/34-Graham-Street/2-OUFFQRQXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
21 Elgin Street,21 Elgin Street,1,7,--,--,--,--,--,https://hk.centanet.com/estate/en/21-Elgin-Street/2-OUFJFROSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
12 Gage Street,12 Gage Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/12-Gage-Street/2-OUFOFRUJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Mandarin Court,16 Arbuthnot Road,1,20,--,--,--,--,--,https://hk.centanet.com/estate/en/Mandarin-Court/2-OUFRQRRXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
18 Elgin Street,18 Elgin Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/18-Elgin-Street/2-OUFSURUARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
65 Peel Street,65 Peel Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/65-Peel-Street/2-OUJDFRVARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
74 Peel Street,74 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/74-Peel-Street/2-OUJDURDSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
36 Elgin Street,36 Elgin Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/36-Elgin-Street/2-OUJFQRUXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
16 Wo On Lane,16 Wo On Lane,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/16-Wo-On-Lane/2-OUJOQRCXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
58-60 Peel Street,58-60 Peel Street,1,14,--,--,--,--,--,https://hk.centanet.com/estate/en/58-60-Peel-Street/2-OUJOURURRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
68 Peel Street,68 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/68-Peel-Street/2-OUJQURDXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Escapade,55 Elgin Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/Escapade/2-OUJRURUJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
30A Graham Street,30A Graham Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/30A-Graham-Street/2-OUJVQRQJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Yuk Chiu Building,44-50 Hollywood Road,1,25,--,--,--,--,--,https://hk.centanet.com/estate/en/Yuk-Chiu-Building/2-OUOFURSJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
28 Arbuthnot Road,28 Arbuthnot Road,1,7,--,--,--,--,--,https://hk.centanet.com/estate/en/28-Arbuthnot-Road/2-OUOJQRRRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Chancery House,5-5A Chancery Lane,1,24,--,--,--,--,--,https://hk.centanet.com/estate/en/Chancery-House/2-OUORUROJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
30 Graham Street,30 Graham Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/30-Graham-Street/2-OUOSQRQSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
19 Lyndhurst Terrace,19 Lyndhurst Terrace,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/19-Lyndhurst-Terrace/2-OUOVFRSXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
75-77 Wellington Street,75-77 Wellington Street,1,7,--,--,--,--,--,https://hk.centanet.com/estate/en/75-77-Wellington-Street/2-OUQCQRFXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Choy Lee Lau,34 Elgin Street,1,8,--,--,--,--,--,https://hk.centanet.com/estate/en/Choy-Lee-Lau/2-OUQDQRUORU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
The Mood Soho,5B Chancery Lane,1,15,--,--,--,--,--,https://hk.centanet.com/estate/en/The-Mood-Soho/2-OUQDUROXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
20 Elgin Street,20 Elgin Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/20-Elgin-Street/2-OUQDURUSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
76 Peel Street,76 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/76-Peel-Street/2-OUQFURDJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Fortuna Building,63-69 Wellington Street,1,16,--,--,--,--,--,https://hk.centanet.com/estate/en/Fortuna-Building/2-OUQJQRFRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
14 Gage Street,14 Gage Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/14-Gage-Street/2-OUQQFRURRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
72 Peel Street,72 Peel Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/72-Peel-Street/2-OURDURDERU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Hollywood House,27-29 Hollywood Road,1,8,--,--,--,--,--,https://hk.centanet.com/estate/en/Hollywood-House/2-OURFFRQSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
6 Chancery Lane,6 Chancery Lane,1,11,--,--,--,--,--,https://hk.centanet.com/estate/en/6-Chancery-Lane/2-OURJUROYRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
16 Elgin Street,16 Elgin Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/16-Elgin-Street/2-OUROURUXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
53 Wellington Street,53 Wellington Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/53-Wellington-Street/2-OURRQRFRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Win Hing House,36-38 Wyndham Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/Win-Hing-House/2-OURSFRCRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
15-17 Lyndhurst Terrace,15-17 Lyndhurst Terrace,1,8,--,--,--,--,--,https://hk.centanet.com/estate/en/15-17-Lyndhurst-Terrace/2-OURUFRSJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
42-42A Hollywood Road,42-42A Hollywood Road,1,18,--,--,--,--,--,https://hk.centanet.com/estate/en/42-42A-Hollywood-Road/2-OURVURSARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
23 Elgin Street,23 Elgin Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/23-Elgin-Street/2-OUSCFROJRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
24 Elgin Street,24 Elgin Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/24-Elgin-Street/2-OUSCURURRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Fortune Court,18-20 Arbuthnot Road,1,48,--,--,--,--,--,https://hk.centanet.com/estate/en/Fortune-Court/2-OUSUQRRXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
65A Peel Street,65A Peel Street,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/65A-Peel-Street/2-OUUFFRVSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
32 Graham Street,32 Graham Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/32-Graham-Street/2-OUUJQRQRRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Cambridge Villa,8-10 Chancery Lane,1,33,--,--,--,--,--,https://hk.centanet.com/estate/en/Cambridge-Villa/2-OUUJUROYRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
10 Gage Street,10 Gage Street,1,6,--,--,--,--,--,https://hk.centanet.com/estate/en/10-Gage-Street/2-OUURFRUSRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
70 Peel Street,70 Peel Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/70-Peel-Street/2-OUUVURDARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
63 Peel Street,63 Peel Street,1,20,--,--,--,--,--,https://hk.centanet.com/estate/en/63-Peel-Street/2-OUVDFRVARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
71-73 Wellington Street,71-73 Wellington Street,1,6,--,--,--,--,--,https://hk.centanet.com/estate/en/71-73-Wellington-Street/2-OUVJQRFARU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
18 Li Yuen Street East,18 Li Yuen Street East,1,2,--,--,--,--,--,https://hk.centanet.com/estate/en/18-Li-Yuen-Street-East/2-OUVJQRQORO,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Treasure View Soho,10-12 Staunton Street,1,23,--,--,--,--,--,https://hk.centanet.com/estate/en/Treasure-View-Soho/2-OUVUFRJXRU,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
45-47 Hollywood Road,45-47 Hollywood Road,1,11,--,--,--,--,--,https://hk.centanet.com/estate/en/45-47-Hollywood-Road/2-SEADWPAJPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
3 Li Yuen Street West,3 Li Yuen Street West,1,1,--,--,--,--,--,https://hk.centanet.com/estate/en/3-Li-Yuen-Street-West/2-SEAEGPAXPS,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
28 Staunton Street,28 Staunton Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/28-Staunton-Street/2-SEAGWPDSPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
15 Staunton Street,15 Staunton Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/15-Staunton-Street/2-SEAWGPDRPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
26 Cochrane Street,26 Cochrane Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/26-Cochrane-Street/2-SEBBBPSAPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
33-35 Elgin Street,33-35 Elgin Street,1,15,--,--,--,--,--,https://hk.centanet.com/estate/en/33-35-Elgin-Street/2-SEBEWPSXPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
22 Hollywood Road,22 Hollywood Road,1,3,--,--,--,--,--,https://hk.centanet.com/estate/en/22-Hollywood-Road/2-SEBGPPKRPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
30 Staunton Street,30 Staunton Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/30-Staunton-Street/2-SEBGWPDSPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Chung Hing Court,67 Peel Street,1,24,--,--,--,--,--,https://hk.centanet.com/estate/en/Chung-Hing-Court/2-SEBPWPBSPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
27-29 Elgin Street,27 Elgin Street,1,15,--,--,--,--,--,https://hk.centanet.com/estate/en/27-29-Elgin-Street/2-SEBSWPSJPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
42 Staunton Street,42 Staunton Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/42-Staunton-Street/2-SEBYPPYXPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Kwan Fat Building (House),44-46 Staunton Street,1,10,--,--,--,--,--,https://hk.centanet.com/estate/en/Kwan-Fat-Building-House/2-SEBYPPYYPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
14 Shelley Street,14 Shelley Street,1,8,--,--,--,--,--,https://hk.centanet.com/estate/en/14-Shelley-Street/2-SEDAPPDSPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
32 Staunton Street,32 Staunton Street,1,4,--,--,--,--,--,https://hk.centanet.com/estate/en/32-Staunton-Street/2-SEDDWPDJPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
Lilian Court,6-8 Shelley Street,1,48,--,--,--,--,--,https://hk.centanet.com/estate/en/Lilian-Court/2-SEDDWPGXPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
17 Old Bailey Street,17 Old Bailey Street,1,5,--,--,--,--,--,https://hk.centanet.com/estate/en/17-Old-Bailey-Street/2-SEDGGPBJPE,Hong Kong Island,Mid-Levels West,Central,HMA028,,,,,,,
